,counts_d3_c95_status,counts_d3_c95_correlation,counts_d4_c95_status,counts_d4_c95_correlation,counts_d3_c50_status,counts_d3_c50_correlation,counts_d3_c95_reg_status,counts_d3_c95_reg_correlation,counts_d3_c50_reg_status,counts_d3_c50_reg_correlation
A4GALT,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.12120394964157026,INFEASIBLE,
AAAS,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AACS,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AADAT,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.14794358858087264,INFEASIBLE,
AAGAB,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AAK1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AAMDC,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AAMP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AAR2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AARS2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.12906376297897343,OPTIMAL,-0.11274342272650067
AASDH,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.10712549943703138,INFEASIBLE,
AASDHPPT,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AASS,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.13742698245114424,INFEASIBLE,
AATF,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCA1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.09559838139418543,INFEASIBLE,
ABCA5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.11388307575854499,INFEASIBLE,
ABCA6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.04408250085739406,OPTIMAL,-0.05258714299671879
ABCB10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.24504774719950567,INFEASIBLE,
ABCB7,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.16303749821422972,INFEASIBLE,
ABCB8,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCC1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCC10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.0702816582436508,OPTIMAL,-0.09475205527937244
ABCC3,OPTIMAL,-0.2153023314908005,OPTIMAL,-0.2943883987356835,INFEASIBLE,,OPTIMAL,-0.06494211724531351,OPTIMAL,-0.03546892232154022
ABCC4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCC5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.2586836564241899,INFEASIBLE,
ABCD1,OPTIMAL,-0.610285413406224,OPTIMAL,-0.4685478866881117,INFEASIBLE,,OPTIMAL,-0.06466097017770239,OPTIMAL,-0.05420991210100371
ABCD3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCD4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.13875954874816918,INFEASIBLE,
ABCE1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCF1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCF2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCF3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCG1,OPTIMAL,6.655370859955097e-09,OPTIMAL,0.0,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABHD10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABHD11,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABHD12,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABHD13,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.10604577508063444,INFEASIBLE,
ABHD14B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.18987632490836512,INFEASIBLE,
ABHD15,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.14752673127294963,INFEASIBLE,
ABHD17A,OPTIMAL,-0.2665166044261058,OPTIMAL,-0.4209415254491427,INFEASIBLE,,OPTIMAL,-0.1316162561286053,INFEASIBLE,
ABHD17B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.08723303288413564,INFEASIBLE,
ABHD17C,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.07566067309355573,INFEASIBLE,
ABHD2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABHD3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1273782412931684,INFEASIBLE,
ABHD4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.10697069360972478,OPTIMAL,-0.08871188865005618
ABHD5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABI1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABI2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABI3BP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABL1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABL2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABLIM3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABR,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABRACL,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABT1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.3041869456789771,INFEASIBLE,
ABTB1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.08081518157116269,INFEASIBLE,
ACAA1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.259771939761773,INFEASIBLE,
ACAA2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACACA,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACAD8,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1822794873361276,INFEASIBLE,
ACAD9,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACADM,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.25327786078028874,INFEASIBLE,
ACADS,OPTIMAL,-0.0630171511836252,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.07213694809667245,OPTIMAL,-0.04374753061951556
ACADSB,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.16197081779880368,OPTIMAL,-0.12915417395122425
ACADVL,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACAP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.0939958752472623,INFEASIBLE,
ACAP2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACAT1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACAT2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACBD3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACBD5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.19052454919632392,INFEASIBLE,
ACBD6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACD,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACER3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.31507987342999627,INFEASIBLE,
ACIN1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACLY,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACO1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACO2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1334621971299218,INFEASIBLE,
ACOT1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.17705269845744506,INFEASIBLE,
ACOT13,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACOT2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACOT7,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACOT8,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.13981867321601768,INFEASIBLE,
ACOT9,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACOX1,OPTIMAL,-0.2230675173414281,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACOX3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.11360189457531715,INFEASIBLE,
ACP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACP2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1443530483938001,INFEASIBLE,
ACP6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.08370769843619917,INFEASIBLE,
ACSF3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.11470757269786581,INFEASIBLE,
ACSL1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACSL3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACSL4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACSS2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.24812434608495834,INFEASIBLE,
ACSS3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.12578743146367838,INFEASIBLE,
ACTA2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.09789536934876705,INFEASIBLE,
ACTB,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACTG1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACTL6A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACTN1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACTN4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACTR10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACTR1A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACTR1B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACTR2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACTR3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACTR5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.12069463242929246,INFEASIBLE,
ACTR6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.2027250150655207,INFEASIBLE,
ACTR8,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACVR1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.18858331588399754,INFEASIBLE,
ACVR1B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.09336118937602106,INFEASIBLE,
ACVR2A,OPTIMAL,5.536944793165291e-09,OPTIMAL,-0.1889314869124039,INFEASIBLE,,OPTIMAL,-0.19894745267356967,INFEASIBLE,
ACVRL1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.16699603583066747,INFEASIBLE,
ACYP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.28253141247018976,INFEASIBLE,
ACYP2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.15210957082051813,OPTIMAL,-0.1268841783028719
ADA,OPTIMAL,-6.497321142332517e-09,OPTIMAL,-0.4010885041980369,INFEASIBLE,,OPTIMAL,-0.08453838207788673,OPTIMAL,-0.030364052517387902
ADAL,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADAM10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADAM12,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADAM15,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADAM17,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.09851621833019615,OPTIMAL,-0.07210852946591316
ADAM22,OPTIMAL,9.438523165302294e-10,OPTIMAL,2.8514910388580363e-08,OPTIMAL,1.2826548429271601e-09,OPTIMAL,-0.33845204056945966,INFEASIBLE,
ADAM33,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADAM9,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADAMTS1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADAMTS12,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.12270249969414034,INFEASIBLE,
ADAMTS2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADAMTS4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.10073692023569016,INFEASIBLE,
ADAMTS6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.16850441375501224,INFEASIBLE,
ADAMTSL1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.19208670071001896,INFEASIBLE,
ADAR,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADARB1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.09034963460805234,OPTIMAL,-0.11028844334060242
ADAT1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADAT2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.15296050071355582,INFEASIBLE,
ADCK2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.16003314632901322,INFEASIBLE,
ADCK5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.04006472565553467,OPTIMAL,-0.04854496109698757
ADCY3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.10906867143877486,INFEASIBLE,
ADCY7,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.09732717191548747,OPTIMAL,-0.06986355253099086
ADCY9,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.13777642641032725,INFEASIBLE,
ADD1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADD3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADGRA2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.13119819840988706,INFEASIBLE,
ADGRA3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.11059396208676217,OPTIMAL,-0.11176061195694331
ADGRE5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADGRG2,OPTIMAL,-0.4347594426275796,OPTIMAL,-0.7137659594827062,INFEASIBLE,,OPTIMAL,-0.04489274489387345,INFEASIBLE,
ADGRL2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADGRL4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.2662368416159489,INFEASIBLE,
ADH5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADI1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADIPOR1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADIPOR2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADK,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADM,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADM5,OPTIMAL,-0.0573863808127868,OPTIMAL,-0.6286171151183033,INFEASIBLE,,OPTIMAL,-0.06435816752733443,INFEASIBLE,
ADNP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADNP2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADO,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADORA2B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.08082452995067778,OPTIMAL,-0.09282532587124268
ADPGK,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADRA1B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.17213738198983972,INFEASIBLE,
ADRB1,OPTIMAL,-0.1259452889525815,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.09976702886446462,INFEASIBLE,
ADRB2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.23678784676382952,INFEASIBLE,
ADRM1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADSL,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AEBP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AEBP2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AEN,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AFAP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AFAP1L1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1801231057448881,INFEASIBLE,
AFF1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AFF4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AFG3L2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AFMID,OPTIMAL,-0.0295761588797272,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.06854161974144563,OPTIMAL,-0.04770667195797241
AFTPH,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.16639861143392742,INFEASIBLE,
AGA,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.14232222538504197,INFEASIBLE,
AGAP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.18024623607503623,INFEASIBLE,
AGAP3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGAP6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.12929930240677226,INFEASIBLE,
AGBL5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.17508870469996649,INFEASIBLE,
AGFG1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGFG2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.4988286892512743,OPTIMAL,-0.09395398273198041
AGGF1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGK,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.14007683656628064,INFEASIBLE,
AGL,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1747737916080015,INFEASIBLE,
AGO1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGO2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGO3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.15221457897769258,INFEASIBLE,
AGO4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.09754743856427019,OPTIMAL,-0.07828139796959506
AGPAT1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.18470000180571958,INFEASIBLE,
AGPAT2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGPAT3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGPAT4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.0972131397519396,INFEASIBLE,
AGPAT5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGPS,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGTPBP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.14722429024959002,OPTIMAL,-0.08754973427478757
