,counts_d3_c95_status,counts_d3_c95_correlation,counts_d4_c95_status,counts_d4_c95_correlation,counts_d3_c50_status,counts_d3_c50_correlation,counts_d3_c95_reg_status,counts_d3_c95_reg_correlation,counts_d3_c50_reg_status,counts_d3_c50_reg_correlation
APEX2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.19618351227229244,INFEASIBLE,
APH1A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.28960454698178995,INFEASIBLE,
APH1B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.14427219614727516,INFEASIBLE,
API5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APIP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1535595295548856,INFEASIBLE,
APLP2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APMAP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APOBEC3A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.18041568781295958,INFEASIBLE,
APOBEC3B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APOBEC3C,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.19796734853527806,INFEASIBLE,
APOBEC3D,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.08969556435577859,OPTIMAL,-0.08840252981590621
APOBEC3G,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.07247170443866842,OPTIMAL,-0.07468103996718659
APOD,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APOL2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APOL6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APOLD1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.17676042684234577,OPTIMAL,-0.15891576184475822
APOO,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1284690004863632,INFEASIBLE,
APOOL,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.15196811481739822,INFEASIBLE,
APP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APPBP2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.3266467142672006,INFEASIBLE,
APPL1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APPL2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APRT,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APTX,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AQP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AQR,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AR,OPTIMAL,-0.991187053896248,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.12409848302052892,INFEASIBLE,
ARAF,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARAP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.0746529815119229,OPTIMAL,-0.08145335254598479
ARAP3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.08398495278323331,OPTIMAL,-0.09053500218590524
ARCN1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AREL1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.2464654235135487,INFEASIBLE,
ARF1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARF3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARF4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARF5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARF6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARFGAP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1524815640760606,INFEASIBLE,
ARFGAP2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARFGAP3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARFGEF1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARFGEF2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARFIP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARFIP2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARFRP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.18271391553748725,INFEASIBLE,
ARGLU1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP11A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP11B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP12,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP17,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP18,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP19,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.14132980910309453,INFEASIBLE,
ARHGAP21,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP22,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP23,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP24,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.2338551786831975,INFEASIBLE,
ARHGAP29,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP31,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.11949781735729251,INFEASIBLE,
ARHGAP32,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.0805661025636832,INFEASIBLE,
ARHGAP35,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.09663295615720151,OPTIMAL,-0.07097220997580951
ARHGDIA,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGEF1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGEF10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.23200067211930378,INFEASIBLE,
ARHGEF10L,OPTIMAL,-0.0285536526448619,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.11010367567181291,INFEASIBLE,
ARHGEF11,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.08456531130490173,INFEASIBLE,
ARHGEF12,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGEF17,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1267313890599326,INFEASIBLE,
ARHGEF19,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.06748106271999839,OPTIMAL,-0.07038079671460469
ARHGEF2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGEF26,OPTIMAL,-0.1208167533521274,OPTIMAL,-0.3725260923814086,INFEASIBLE,,OPTIMAL,-0.12653075866071734,INFEASIBLE,
ARHGEF28,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGEF39,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.055496159476180765,OPTIMAL,-0.07223300013129519
ARHGEF40,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGEF5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.10076164068402038,INFEASIBLE,
ARHGEF6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1631205611909666,INFEASIBLE,
ARHGEF7,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGEF9,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.09650603084406005,INFEASIBLE,
ARID1A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARID1B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARID2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.274331473070322,INFEASIBLE,
ARID3A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.217869699331682,INFEASIBLE,
ARID4A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.2550628630952865,INFEASIBLE,
ARID4B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARID5B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARIH1,OPTIMAL,7.891260659535438e-09,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARIH2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.11506111934199396,OPTIMAL,-0.08719014174508966
ARL13B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL14EP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL16,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL4A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL4C,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.13641901888144536,INFEASIBLE,
ARL4D,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.16850209297414853,OPTIMAL,-0.16260899027093373
ARL5A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL5B,OPTIMAL,-0.2406273706858269,OPTIMAL,0.0,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.08345903103081061,INFEASIBLE,
ARL6IP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL6IP5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL6IP6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARL8A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.08890270535782158,OPTIMAL,-0.06652966983260991
ARL8B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARMC1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARMC10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.20669078520066234,INFEASIBLE,
ARMC5,OPTIMAL,-0.288654417130241,OPTIMAL,-0.2572645853048185,INFEASIBLE,,OPTIMAL,-0.050416589865113576,OPTIMAL,-0.030550678728324288
ARMC6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARMC7,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.08084658072577032,OPTIMAL,-0.06989465956159753
ARMC8,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARMC9,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.13084376727448693,INFEASIBLE,
ARMCX1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARMCX2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.08208591811067435,OPTIMAL,-0.08791830888467433
ARMCX3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARMCX4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.0764772875746652,OPTIMAL,-0.06273205176863819
ARMCX6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARMT1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARNT,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARPC1A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARPC1B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARPC2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARPC3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARPC4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARPC5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARPC5L,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARPIN,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.13756262746339282,OPTIMAL,-0.12458017628214953
ARPP19,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARRB1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.08085769778750355,INFEASIBLE,
ARRB2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.12991625317881098,INFEASIBLE,
ARRDC1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.07150917358697637,OPTIMAL,-0.08100745678670043
ARRDC2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.06510789331444335,INFEASIBLE,
ARRDC3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARSA,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.06279130413222232,OPTIMAL,-0.05528825939625957
ARSB,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.14422886164585638,OPTIMAL,-0.15592622700889502
ARSD,OPTIMAL,-6.895767666062144e-11,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.07723626665984674,INFEASIBLE,
ARSJ,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARSK,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.11271517544983982,OPTIMAL,-0.07917379030620818
ARV1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.15147305858807128,INFEASIBLE,
ASAH1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASAH2B,OPTIMAL,-0.2554161376517212,OPTIMAL,-0.2897945633917752,INFEASIBLE,,OPTIMAL,-0.07139256490695144,OPTIMAL,-0.0566636410138173
ASAP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASAP2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASB1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASB13,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.06378757329744174,INFEASIBLE,
ASB6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASB7,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.13807414909196586,INFEASIBLE,
ASB8,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASCC1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASCC2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASCC3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASF1A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASF1B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASH1L,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASH2L,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASL,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.21199601034101867,INFEASIBLE,
ASMTL,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.11875291143423124,INFEASIBLE,
ASNS,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASNSD1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASPH,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASPM,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASPSCR1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.15490538044815683,OPTIMAL,-0.130056575209045
ASS1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1791826829684027,INFEASIBLE,
ASTE1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.07939918319052976,OPTIMAL,-0.07293235939487847
ASXL1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ASXL2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATAD1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATAD2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATAD2B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.08238416113368352,OPTIMAL,-0.09651082757954384
ATAD3A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATAD3B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATAD5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATAT1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.07542508614784568,OPTIMAL,-0.07472644217251675
ATE1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATF1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATF2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.16983551075690162,INFEASIBLE,
ATF4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATF5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATF6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATF6B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.17416670174466817,INFEASIBLE,
ATF7,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.14717483348512625,INFEASIBLE,
ATF7IP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATG10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.147651976570853,INFEASIBLE,
ATG12,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATG13,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1639333278384467,INFEASIBLE,
ATG14,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATG16L1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.19559668146039344,INFEASIBLE,
ATG2A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.13494088774843052,INFEASIBLE,
ATG2B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATG3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATG4A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.08422519818882827,OPTIMAL,-0.10420980671629161
ATG4B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATG4C,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.16683820742668803,INFEASIBLE,
ATG5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATG7,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATG9A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATIC,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ATL1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.08354698394879041,INFEASIBLE,
ATL2,OPTIMAL,-0.1169801552635753,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.18640608274260442,INFEASIBLE,
